              I,        CL0(I),       DCLDA(I),       CLMIN(I),     CLMAX(I),       MCRIT(I)      CD0(I),         CD2U(I),        CD2L(I),      CLCD0(I),   REREF(I),     REEXP(I)
              1         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              2         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              3         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              4         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              5         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              6         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              7         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              8         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              9         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             10         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             11         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             12         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             13         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             14         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             15         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             16         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             17         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             18         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             19         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             20         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             21         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             22         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             23         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             24         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             25         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              1         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              2         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              3         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              4         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              5         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              6         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              7         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              8         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              9         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             10         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             11         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             12         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             13         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             14         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             15         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             16         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             17         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             18         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             19         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             20         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             21         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             22         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             23         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             24         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             25         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              1         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              2         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              3         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              4         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              5         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              6         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              7         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              8         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
              9         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             10         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             11         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             12         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             13         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             14         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             15         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             16         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             17         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             18         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             19         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             20         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             21         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             22         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             23         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
             24         0.5000         5.8000        -0.3000         1.2000         0.7000         0.0280         0.0500         0.0500         0.5000     70000.0000    -0.7000E+00
