
# QPROP Version 1.22
# 
# Graupner CAM 6x3 folder                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000      Rmotor (Ohms)                  
#   0.77000      Io     (Amps)                  
#    2760.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.000  0.1425E+05  0.000   2.888      0.3000E-01   44.77       8.089    9.4408   0.5862   0.2581   0.03518  0.1999E-01  0.2726E-02  12.5678   0.1513   76.37       11.55       0.6378  0.3275E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0202  0.0170  26.380   1.1522  0.08047    34735  0.087   0.3651   0.8176   10.14       12.42      0.9635E-01
   0.0225  0.0173  24.311   1.0935  0.06809    39489  0.097   0.3564   0.8255   10.50       11.70      0.9871E-01
   0.0248  0.0175  22.471   1.0407  0.05901    43971  0.107   0.3499   0.8303   10.78       11.01      0.1005    
   0.0271  0.0175  20.856   0.9959  0.05243    48056  0.117   0.3450   0.8323   11.01       10.37      0.1020    
   0.0293  0.0173  19.442   0.9587  0.04763    51692  0.127   0.3413   0.8323   11.20       9.767      0.1031    
   0.0316  0.0171  18.191   0.9271  0.04401    54892  0.137   0.3385   0.8307   11.36       9.213      0.1039    
   0.0339  0.0167  17.065   0.8991  0.04117    57706  0.148   0.3365   0.8279   11.47       8.699      0.1045    
   0.0362  0.0163  16.026   0.8725  0.03882    60221  0.158   0.3353   0.8241   11.56       8.218      0.1049    
   0.0385  0.0159  15.037   0.8448  0.03672    62561  0.168   0.3349   0.8197   11.61       7.764      0.1050    
   0.0408  0.0156  14.071   0.8143  0.03476    64826  0.178   0.3353   0.8144   11.63       7.332      0.1049    
   0.0431  0.0152  13.130   0.7819  0.03297    66988  0.188   0.3365   0.8080   11.63       6.920      0.1045    
   0.0453  0.0149  12.219   0.7485  0.03141    68987  0.198   0.3384   0.8004   11.59       6.527      0.1040    
   0.0476  0.0145  11.344   0.7151  0.03009    70747  0.208   0.3410   0.7914   11.53       6.152      0.1032    
   0.0499  0.0141  10.511   0.6826  0.02904    72178  0.218   0.3442   0.7806   11.44       5.795      0.1022    
   0.0522  0.0137   9.726   0.6518  0.02826    73182  0.228   0.3480   0.7680   11.34       5.456      0.1011    
   0.0545  0.0132   8.988   0.6228  0.02773    73737  0.238   0.3522   0.7536   11.22       5.135      0.9987E-01
   0.0568  0.0127   8.296   0.5953  0.02740    73895  0.249   0.3568   0.7375   11.09       4.835      0.9860E-01
   0.0591  0.0122   7.647   0.5689  0.02723    73723  0.259   0.3614   0.7197   10.96       4.559      0.9733E-01
   0.0613  0.0117   7.039   0.5429  0.02720    73301  0.269   0.3658   0.7003   10.84       4.310      0.9616E-01
   0.0636  0.0111   6.469   0.5169  0.02728    72721  0.279   0.3695   0.6795   10.74       4.092      0.9521E-01
   0.0659  0.0106   5.937   0.4904  0.02749    71886  0.289   0.3720   0.6570   10.67       3.910      0.9456E-01
   0.0682  0.0100   5.449   0.4647  0.02808    69951  0.299   0.3735   0.6313   10.64       3.757      0.9420E-01
   0.0705  0.0091   5.014   0.4406  0.02942    65802  0.309   0.3736   0.5998   10.64       3.635      0.9417E-01
   0.0728  0.0078   4.638   0.4158  0.03227    58189  0.319   0.3701   0.5575   10.74       3.574      0.9505E-01
   0.0751  0.0060   4.329   0.3653  0.03887    45846  0.329   0.3480   0.4856   11.42       3.814      0.1011    
